Course Title,Description
NSG 212.  Fundamentals of Nursing Practice.  3 Credits.,"In this course the student will examine various nursing theories and concepts; conceptual frameworks; theories from other disciplines which apply to nursing; nursing history; nursing education; professionalism in nursing; nursing leadership; the nursing process; nursing diagnosis; nursing research; ethical, legal, economic, and political aspects of nursing and current issues in nursing. The student will also study and learn to practice psychosocial and physical assessment skills as well as learning how to do vital sign assessment; provide bedside nursing care, hygiene and comfort; transfer and positioning techniques for clients; and understand and demonstrate competence in the utilization of standard precautions as a health care provider. This course serves as a foundation for all subsequent nursing courses in the upper division. Pre / Co requisites: NSG 212 requires prerequisites of NSG 101 , and a combined GPA of higher than 2.75 in the following courses: BIO 100 , BIO 259 and BIO 269 , CHE 107 and CRL 107 . Typically offered in Spring & Summer."
NSG 216.  Healthy Aging in the New Millennium.  3 Credits.,"In this course the student will examine the influences associated with healthy aging through a variety of learning activities. Students will begin by learning about ageism and lifespan biological and genetic influences (allostatic load theory) on health outcomes. This biological foundation serves as a starting point to examine other factors (social, economic, cultural) that impact healthy aging. Students then apply communication skills through interaction on a one-to-one basis with older adults. Students complete basic assessments on common problems of day-to-day living (sleep, nutrition, mobility, fall risk) and a community walking assessment that illustrates how environment influences aging. Students learn to apply health equity promotion and social justice principles to older adult health (Health Equity Promotion model). Students learn about community programs, health policy, and their impact on the health of older adults. The course will foster an informed and reasoned openness to, and understanding of, aging differences based on lifestyle, economic, and biological factors. In conclusion, a course goal is to educate  students who become citizens committed to creating a just and equitable society. Gen Ed Attribute: Diversity Requirement. Typically offered in Fall."
NSG 218.  Concepts in Caring.  3 Credits.,"The emphasis of this course is that caring is a universal concept that can be viewed from many disciplines. Nurses, professionals in the caring business, serve as the guides in a creative journey connecting human caring and the various disciplines. Pre / Co requisites: NSG 218 prerequisite - Nursing majors only."
NSG 221.  Skills for Professional Success.  1 Credit.,"This one-credit elective for level III and IV nursing majors is designed to help students foster clinical judgment skills by focusing on study skills, critical thinking, and test-taking.  Emphasis is placed on preparing students with skills that are essential for success on the National Council Licensure Examination for Registered Nurses (NCLEX-RN). Pre / Co requisites: Nursing Majors - Undergraduate. Repeatable for Credit."
NSG 222.  Transcultural Healthcare Delivery.  3 Credits.,"This course introduces students to culturally diverse populations within the United States. Emphasis is placed on the exploration of heritage (social structure), and the meaning of health and illness in various culturally diverse sub-populations that include individuals from marginalized groups. Weekly assignments will provide students with the opportunity to explore diversity in healthcare delivery. Through class discussions, students will further develop agency and devise strategies to employ resistance in the face of structural oppression which is often encountered in healthcare structures. Discussions will include the following topics: demographic disparity/poverty, immigration/U.S. institutional mandates, diverse health care beliefs, traditional medicine, religion, ethnicity, healthcare economics, socialization, and linguistics as they each relate to health outcomes. Concepts will be approached using an interdisciplinary lens and draw upon perspectives from the following disciplines: health sciences, economics, history, anthropology, sociology, and political science. This course promotes collaboration among disciplines to improve healthcare access and delivery for diverse populations. Gen Ed Attribute: Diversity Requirement, Interdisciplinary Requirement. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
NSG 223.  Crime Victim Advocacy.  3 Credits.,This course provides introductory training for anyone wishing to work with victims and survivors of sexual assault and other forms of victimization. The course is an excellent basis for those seeking to volunteer or intern with community based agencies specializing in this field.
NSG 225.  Health and Heredity in Human Caring.  3 Credits.,"This course will examine the foundations of Genetics that makes a person unique, why one resembles or differ from their family members, and why some diseases run in families. The Human Genome Project decoded the genetic information in 2003. This genetic 'instruction manual' is currently used to understand and treat diseases. The course will examine patterns of inheritance, genetic differences, and disease risks. The course also will focus on application of genetic information in different situations as individuals and families, employment and insurance settings, legal and ethical aspects, genetic counseling and long term care. Pre / Co requisites: NSG 225 requires a prerequisite of BIO 100 . Distance education offering may be available. Typically offered in Fall & Summer."
NSG 234.  Gender and Sexual Minority Health.  3 Credits.,"This course will expose students to historical, current, and emerging health issues experienced by the gender and sexual minority (GSM) populations. This course is rooted in the minority stress approach to health promotion problems amongst the gender and sexual minorities. Introduction to health promotion activities, advocacy, prevention, and community health resources are emphasized. This course is open to all majors. Gen Ed Attribute: Diversity Requirement. Distance education offering may be available. Typically offered in Fall, Spring, Summer, Winter."
NSG 235.  Introduction to Forensic Nursing.  3 Credits.,"This survey course introduces forensic nursing and the role of the professional nurse to forensic science. Building on nursing knowledge, the course topics will assist in the development and understanding of the relationship between clinical nursing practice and forensic science. The history of forensic nursing and a variety of forensic nursing specialty roles will be examined. The application of patient teaching, prevention and intervention, long-term health effects and referral resources within the specialty of forensic nursing will be defined for multi-professional practice. Specific groups and vulnerable populations at increased risk to crime will be explored. Distance education offering may be available. Typically offered in Fall, Spring, Summer, Winter."
"NSG 239.  Preparing Students for Incivility, Bullying & Lateral Violence in the Workplace.  3 Credits.","This course is designed to prepare nursing students and new graduate nurses' education for encounters with incivility, bullying, and lateral violence in the workplace. Course content will include reviewing the personal and professional impact of incivility, bullying, and lateral violence. It will also include how incivility, bullying, and lateral violence influences patient care, professional self-esteem, self-worth, and physical and emotional health. Current nursing position statements, policies, and protections will be explored. Resiliency and self-care skills will be taught along with training in conflict resolution and professional communication to help empower students to address incivility, bullying, and lateral violence in the workplace. Orem's Self-Care Theory will serve as the theoretical framework for the course. Gen Ed Attribute: Speaking Emphasis. Distance education offering may be available. Typically offered in Fall, Spring, Summer, Winter."
NSG 240.  Advances in Palliative Care.  3 Credits.,"This course will focus on the concept of palliative care, one that improves the quality of life of patients and their families at any stage of a serious illness. The course will focus on the distinction between palliative and hospice care. Based on the Nursing Process, the issues of physical problems such as pain, psychosocial and spiritual suffering, through culturally congruent preventative and relief measures will be addressed. Additionally, the distinct advantages of palliative care will be identified to improve quality measures and resource utilization. Pre / Co requisites: NSG 240 requires a prerequisite of NSG 212 . Distance education offering may be available. Typically offered in Fall, Spring & Summer."
NSG 310.  Human Response to Disease.  3 Credits.,"Examination of core concepts of alterations of human responses to disease processes at the cellular and systemic level.  This course focuses on illness as it affects major body systems.  Students will identify and analyze prototypical clinical situations, which will provide a foundation for their nursing practice.  This course will link clinical situations to their underlying mechanism of disorder and provide a sound knowledge for the practice of professional nursing. Pre / Co requisites: Nursing Majors - Undergraduate."
"NSG 311.  Nursing Care of Women, Infants, & Children.  4 Credits.","The emphasis of this course is the childbearing family and the pediatric patient. Content will focus on prevention of illness and promotion of health by assessment of the health status, appropriate intervention, and evaluation of the health promotion plan. Chronic states as well as acute health conditions will be addressed as well. Content is organized around the concepts of wellness, chronicity and acuity. The nursing process provides the framework for the care to be given in a variety of settings with clients. Associated clinical experiences are provided in agencies where relatively well populations have been identified, as well as acute care population settings. Examples include schools, primary care practices, inpatient settings, and childbirth settings. Pre / Co requisites: NSG 311 requires a corequisite of NSL 311 ; prerequisites of C or higher in NSG 101 , NSG 212 , NSL 212 , and NSG 310 ; C- or higher in each of WRT 120 or WRT 123 , a 200-level WRT course, NTD 303 , BIO 204 , PSY 100 , SOC 100 or SOC 240 , and PSY 210 or HEA 206 . Typically offered in Fall & Spring."
NSG 312.  Introduction to Medical Surgical Nursing and Care of the Elder.  5 Credits.,"The emphasis of this course is on the assessment, maintenance, and promotion of health of the older adult and introduction to the care of the inpatient. Clients with chronic health problems in both these populations are addressed. Content is organized around the concepts of wellness, chronicity and acuity.  The nursing process is used to assist these clients to grow and or adapt through supportive, therapeutic, palliative, and preventive measures. Pre / Co requisites: NSG 312 requires a corequisite of NSL 312 ; prerequisites of C or higher in NSG 101 , NSG 212 , NSL 212 , and NSG 310 ; C- or higher in each of WRT 120 or WRT 123 , a 200-level WRT course, NTD 303 , BIO 204 , PSY 100 , SOC 100 or SOC 240 , and PSY 210 or HEA 206 . Typically offered in Fall & Spring."
NSG 313.  Applied Nursing Research.  3 Credits.,"This course is designed to provide students with a thorough understanding of the mechanism by which evidence is developed including the research process, clinical judgment, interprofessional perspectives and patient preference as applied to practice. This course  is also a foundation for more complex research applications at the graduate level. Opportunities include development of a literature review, critique of a qualitative and quantitative nursing research study and participating in the conduct of nursing research with a faculty member. Pre / Co requisites: NSG 313 requires prerequisites of NSG 212 , NSL 212 , and MAT 121 or MAT 125 . Gen Ed Attribute: Writing Emphasis. Distance education offering may be available. Typically offered in Fall & Spring."
NSG 317.  Gender-Specific Women's Sexuality.  3 Credits.,"This is a writing-intensive course examining gender-specific women's experience with sex and sexuality from a biopsychosocial perspective. The approach is inclusive of multiple foci including age, race, ethnicity, sexual orientation, (dis)ability, and other aspects of human difference. Special attention is paid to women's sexuality within the context of gender analysis. Gen Ed Attribute: Writing Emphasis. Typically offered in Fall."
NSG 318.  Selected Topics in Nursing.  1-3 Credits.,"An in-depth study of selected, current topics relevant to nursing and health care.  This course will emphasize the critical analysis of current topics on health care.  Each student will develop a commitment to reading and critiquing nursing literature in professional journals as part of the teaching- learning process. Repeatable for Credit."
NSG 323.  Suggestive Therapeutics for the Healthcare Professional.  3 Credits.,This course will provide a practical framework for the healthcare professional to structure suggestions and pattern communication with patients.  The most recent innovations and research in the field will be presented and a variety of approaches will be synthesized into a comprehensive approach to the practice of suggestive therapeutics. Typically offered in Fall & Spring.
NSG 325.  Health Teaching & Promotion for the RN.  1 Credit.,This course designed for the RN-BSN student will assist the student to develop educational objectives; apply learning theories for healthcare teaching; identify developmental theories/stages of the learner; explore the use of technology to meet learning objectives; identify methods to determine healthcare literacy; and evaluate teaching methodology/strategy utilized. Pre / Co requisites: NSG 325 requires COREQ: NSG/ NSL 311 . Distance education offering may be available.
NSG 330.  Professional Nursing Communication Strategies.  2 Credits.,"The course is designed for the RN-BSN student to foster beginning skills in scholarly inquiry, scientific writing, and professional communication strategies. Information science and teamwork will be explored in the context of professional nursing. The content of this course serves as a foundation for student success in subsequent coursework. Consent: Permission of the Department required to add. Distance education offering may be available. Typically offered in Fall & Spring."
NSG 332.  Ethics and Health Policy in Nursing.  3 Credits.,"This course is designed to explore the role of ethics in healthcare and public policy. Common ethical problems are discussed and strategies for resolution of ethical dilemmas are applied. This course will address such topics as end-of-life care, living wills and advanced directives, social networking and media in Nursing, research with vulnerable populations and genomics. Focus is placed on values clarification, ethical theory, ethical decision making models, and professional ethical standards. Emphasis is on ethical obligations of professional nurses in their roles as citizens, members of a profession, providers of care, and facilitators of public health policy. Pre / Co requisites: NSG 332 requires a prerequisite of admission to the RN-to-BSN program. Gen Ed Attribute: Ethics Requirement, Writing Emphasis. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
NSG 334.  Community/Public Health Nursing.  3 Credits.,"This course will allow students to explore and gain knowledge about the role of the community/public health nurse caring for individuals, families, communities, and populations. Emphasis is placed on health promotion and disease/injury prevention within vulnerable and at-risk populations. Students will be introduced to environmental health and emergency and disaster planning and response systems. Social determinants of health (SDoH), including neighborhood, economic stability, access to education and healthcare, and cultural context, will be analyzed using various evidence-based and organizational resources. Entry-level competencies for public health nursing will be gained through course assignments. Pre / Co requisites: NSG 334 requires a prerequisite of admission to the RN-to-BSN program. Distance education offering may be available. Typically offered in Fall & Spring."
NSG 335.  Clinical Prevention and Population Health.  2 Credits.,"This experiential learning experience will allow students to apply their knowledge of the role of the community/public health nurse when caring for individuals, families, communities, and populations. Students will complete the assessment, design, implementation, and evaluation of a potential population-based intervention that promotes the health of a selected community. Emphasis is placed on health promotion and disease/injury prevention of at-risk populations. Students will be introduced to vulnerable and medically underserved populations while completing their community nurse project. Entry-level competencies for public health nursing will be gained through course assignments. Pre / Co requisites: NSG 335 requires a prerequisite of admission to the RN-to-BSN program. Distance education offering may be available. Typically offered in Fall & Spring."
NSG 367.  Nursing Implications of Drug Interaction.  3 Credits.,"The student will be introduced to essential pharmacological principles and concepts. The nursing process will provide the framework by which students will apply these principles and concepts to situations in a variety of health care settings. Pre / Co requisites: NSG 367 requires prerequisites of BIO 269 , NSG 212 , and NSL 212 . Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall."
NSG 380.  Clinical Simulation in Nursing.  3 Credits.,"Students will role play a variety of roles during patient care scenarios using SIM-MAN technology. During scenarios students will assess patient condition, critically think through patient care problems, implement nursing interventions, and evaluate patient outcomes. Student will evaluate performance of self and peers during debriefing sessions for continued improvement in problem solving and patient outcomes."
NSG 381.  Nursing Foundations & Population Health/Gero.  3 Credits.,"In this course the student will examine various nursing theories and concepts; conceptual frameworks; theories from other disciplines which apply to nursing; nursing history; nursing education; professionalism in nursing; nursing leadership; the nursing process; nursing diagnosis, nursing research; ethical, legal, economic, and political aspects of nursing and current issues in nursing. The student will also study and learn to practice psychosocial and physical assessment skills as well as learning how to do: vital sign assessment, provide bedside nursing care, hygiene and comfort; transfer and positioning techniques for clients, and understand and demonstrate competence in the utilization of standard precautions as a health care provider. The emphasis of this course will also be on the maintenance, and promotion and health of the older adult and introduction to the care of the inpatient. Clients with chronic health problems in both these populations are addressed. Content is organized around the concepts of wellness, chronicity and acuity. The nursing process is used to assist these clients to grow and or adapt through supportive, therapeutic, palliative, and preventive measures. Pre / Co requisites: NSG 381 requires a prerequisite of a C minimum in NSG 530 , NSG 532 , and NSG 533 , and a corequisite of NSL 381 . Consent: Permission of the Department required to add. Typically offered in Fall, Spring & Summer."
"NSG 382.  Global Topics in Health Care Delivery: Women, Infants, and Children in South Africa.  3 Credits.","Students will explore core concepts of global health that affect accessing health care in resource-limited settings. The course will evaluate health concerns of South Africa's women and children throughout maternity, delivery and newborn care systems. The course will include seminar and service-learning components. Seminars will focus on the global health concerns in South African women and children such as expansion of maternity care through Central and State government, the nursing professional role as care attendants and midwives, HIV/AIDS detection and prevention as well as the availability of anti-retrovirus medications to prevent HIV in infants and children. Students will assess the health care needs of a high risk population, develop a plan of action that is concurrent with the strategic plan of the South African government and World Health Organization (WHO), and provide care or an educational program that will address that need. Through this course the students will gain the knowledge, skills and understanding of South African culture that are necessary to make significant contributions to improve the global health of women and their families through nursing. Pre / Co requisites: NSG 382 requires prerequisites of NSG 212 and NSL 212 . Typically offered in Spring."
"NSG 383.  Caring for Healthy, Acute and Chronic Populations - Pediatrics/Maternity/Medical-Surgical I.  6 Credits.","The emphasis of this course is the medical-surgical, childbearing family, and the pediatric patient. Content will focus on prevention of illness and promotion of health by assessment of the health status, appropriate intervention, and evaluation of the health promotion plan. Chronic states as well as acute health conditions will be addressed. Content is organized around the concepts of wellness, chronicity and acuity. The nursing process provides the framework for the care to be given in a variety of settings with clients. Pre / Co requisites: NSG 383 requires a prerequisite of a C minimum in NSG 381 and NSL 381 ; and a corequisite of NSL 383 . Typically offered in Fall, Spring & Summer."
NSG 385.  Caring for Acutely Ill Populations - Medical-Surgical II & Behavioral Health/Immersive Experience.  6 Credits.,"The emphasis of this course is on the care of persons with acute medical-surgical and acute holistic health crises. Concepts of holistic care are highlighted throughout classroom and clinical experiences. The content will focus on the use of the nursing process to assist clients in crisis. The framework for the care to be given will reflect concepts including the use of leadership, management, and public/population health nursing concepts to manage and improve health. Students will collaborate, coordinate, and advocate as they use the nursing process independently and interdependently to focus on the complex problems of individuals, families, communities, populations, and systems. Students are expected to function as self-directed learners who correlate nursing/scientific theory and concepts with identifiable research problems in varied environments. Pre / Co requisites: NSG 385 requires a prerequisite of a C minimum in NSG 381 , NSL 381 , NSG 383 , and NSL 383 ; and a corequisite of NSL 385 . Typically offered in Fall, Spring & Summer."
NSG 407.  Concepts in Critical Care Nursing.  3 Credits.,"The purpose of this course is to provide students an opportunity to enhance their knowledge and skills in the area of acute critical care nursing. Students will acquire knowledge pertaining to the pharmacological management, advanced cardiac, and respiratory concepts in the critically ill adult. Students will examine ethical principles and concepts that affect clinical practice in the acute critical care setting. Students will explore the role of the critical care nurse, and clinical observation experiences are provided in various acute critical care settings. This course has limited course enrollment and unit assignments will be based on clinical site availability. Pre / Co requisites: NSG 407 requires prerequisites of NSG 311 , NSL 311 , NSG 312 , and NSL 312 (grade of C or higher required); and corequisites of NSG 411 and NSL 411 . Gen Ed Attribute: Ethics Requirement. Typically offered in Fall and Winter."
NSG 410.  Nursing Research Internship.  1-3 Credits.,"This internship is a one-semester research work-study appointment in a healthcare-related agency. Students will be mentored in the research process through active collaboration in new and ongoing research efforts. Students will be supervised jointly by a professional at an agency with which the department has a contractual agreement and a Department of Nursing faculty member. Pre / Co requisites: NSG 410 requires a prerequisite of NSG 313 and students to be undergraduate Nursing majors. Typically offered in Fall, Spring & Summer. Repeatable for Credit."
NSG 411.  Medical Surgical Nursing.  5 Credits.,"The emphasis of this course is on the care of persons with acute medical surgical and acute holistic health crises. Concepts of holistic care are highlighted throughout classroom and clinical experiences. The content will focus on the use of the nursing process to assist clients in crisis. Associated clinical experiences are provided in acute care psychiatric inpatient and medical surgical settings. Pre / Co requisites: NSG 411 requires a corequisite of NSL 411 and prerequisites of NSG 311 , NSL 311 and NSG 312 , NSL 312 (with at least a C). Typically offered in Fall, Spring & Summer."
"NSG 412.  Public/Population Health Nursing, Nursing Leadership, & Management.  5 Credits.","The emphasis of this course will be on the use of leadership, management, and public/population health nursing concepts to manage and improve health. Students will collaborate, coordinate, and advocate as they use the nursing process independently and interdependently to as they focus on the complex problems of individuals, families, communities, populations, and systems. Associated clinical experiences are provided in an immersion experience and Community/Public Health settings. Pre / Co requisites: NSG 412 requires a corequisite of NSL 412 and prerequisites of NSG 311 , NSL 311 and NSG 312 , NSL 312 (with a grade of C or higher). Distance education offering may be available. Typically offered in Fall & Spring."
NSG 430.  Physical and Health Assessments of Diverse Populations Across the Lifespan.  3 Credits.,"In this course, students will build a foundation of knowledge and learn concepts and principles underlying assessment of the health status of individuals from culturally diverse backgrounds with emphasis placed on interviewing skills, health histories, and the physical and psychosocial findings in the well person across the lifespan. Students will focus on completing a holistic health and physical assessment by obtaining health histories, performing physical and psychosocial assessments, and formulating initial nursing plans using the nursing process with virtual patients. Consent: Permission of the Department required to add. Distance education offering may be available. Typically offered in Fall & Spring."
"NSG 432.  Health Information, Technology, and Quality Improvement.  3 Credits.","This course is designed to introduce the nursing student to informatics tools that are currently being utilized in healthcare to ensure safe and quality care. Electronic Health Records (EHR), telehealth, personal reference management software, Evidence-Based Practice (EBP), and HIPAA will be emphasized. Pre / Co requisites: NSG 432 requires a prerequisite of admission to the RN-to-BSN program. Gen Ed Attribute: Speaking Emphasis. Distance education offering may be available. Typically offered in Fall & Spring."
NSG 434.  Nursing Leadership & Management in Today's Healthcare Environment.  3 Credits.,"This course prepares the BSN nurse for the challenges of nursing leadership and management with a concentration on issues that currently impact the healthcare environment. BSN students are prepared to apply management theories, organizational behavior theories, and leadership styles that are relevant to the practice of nursing management. BSN students complete the course with leadership skills in maintaining best practices and standards of care as well as the ability to appropriately interact with the healthcare team in future work settings. Pre / Co requisites: NSG 434 requires a prerequisite of admission to the RN-to-BSN program and a corequisite of NSG 435 . Gen Ed Attribute: Speaking Emphasis. Distance education offering may be available. Typically offered in Fall & Spring."
NSG 435.  Nursing Leadership Practicum.  2 Credits.,"This practicum course has an emphasis on decision-making and advocacy for the Bachelor's degree in nursing. Under the guidance of the instructor, students will demonstrate their mastery of leadership theories and styles, approaches, and frameworks. Consent: Permission of the Department required to add. Distance education offering may be available. Typically offered in Fall & Spring."
NSG 456.  Interprofessional Simulation.  3 Credits.,"The primary objective of this course is to examine the interrelationship of various healthcare professions through simulation activities. In this course, students will examine the knowledge, skills, and attitudes needed to establish effective teamwork across healthcare disciplines. Teamwork has been found to be one of the key initiatives within patient safety that can transform the culture of healthcare delivery. Patient safety requires effective communication and other teamwork skills to deliver quality healthcare and to prevent medical errors, patient injury, and harm. To address this, health sciences students will explore a team-based, interdisciplinary, integrative approach to healthcare delivery through online self-study, simulation, debriefing, and self-reflection. Speaking emphasis skills will be assessed during performance of case presentations in simulations and analytical oral interpretations of the performance in debriefing. Students will examine strategies that enhance collaboration, communication, and patient safety, leading to integration of various perspectives into a unified framework of healthcare delivery. Pre / Co requisites: NSG 456 requires completion of 60 credits in the Communication Sciences and Disorders, Nursing, or Nutrition major. Gen Ed Attribute: Interdisciplinary Requirement, Speaking Emphasis. Distance education offering may be available. Typically offered in Summer. Cross listed courses NSG 456 , NTD 456 , SLP 456 ."
NSG 480.  Advanced Clinical Simulation in Nursing.  3 Credits.,"In this class students will role play a variety of roles during advanced patient care scenarios using SIM-MAN technology. During scenarios students will assess patient condition, critically think through patient care problems, implement nursing interventions, and evaluate patient outcomes in crisis situations. Students will evaluate performance of self and peers during debriefing sessions for continued improvement in problem solving complex patient care situations and evaluate outcomes."
NSL 212.  Health Assessment and the Fundamentals of Nursing.  3 Credits.,"This course provides the nursing student with skills in physical and psychosocial assessment of adult clients. The course also assists in the development and demonstration of the fundamental skills in nursing to include a checking of competence for all skills necessary to begin clinical practicums. Pre / Co requisites: NSL 212 requires prerequisites of BIO 100 , BIO 259 , BIO 269 , CHE 107 and CRL 107 , and corequisite of NSG 212 . Must have composite GPA of 2.75 in these prerequisite courses. Gen Ed Attribute: Speaking Emphasis. Typically offered in Spring & Summer."
NSL 311.  Laboratory.  5 Credits.,"Clinical experiences are provided in agencies where relatively well populations have been identified, such as schools, day care centers, and childbirth settings. Pre / Co requisites: NSL 311 requires a corequisite of NSG 311 and prerequisites of C or higher in NSG 101 , NSG 212 , NSL 212 , and NSG 310 ; C- or higher in each of WRT 120 or WRT 123 , 200 -level WRT course, NTD 303 , BIO 204 , PSY 100 , SOC 100 or SOC 240 , and PSY 210 or HEA 206 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
NSL 312.  Laboratory.  5 Credits.,"Clinical experience is provided in rehabilitation centers, nursing homes, and acute care settings. These environments provide flexibility for students to implement changes for clients and acquire skills which will be utilized in other nursing courses. Pre / Co requisites: NSL 312 requires a corequisite of NSG 312 ; prerequisites of a C or higher in NSG 101 , NSG 212 , NSL 212 , and NSG 310 ; C- or higher in each of WRT 120 or WRT 123 , a 200-level WRT course, NTD 303 , BIO 204 , PSY 100 , SOC 100 or 240 , and PSY 210 or HEA 206 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
"NSL 381.  Caring for Healthy, Acute and Chronic Populations - Nursing Foundations and Population Health/Gero.  3 Credits.","In this course the student will examine various nursing theories and concepts; conceptual frameworks; theories from other disciplines which apply to nursing; nursing history; nursing education; professionalism in nursing; nursing leadership; the nursing process; nursing diagnosis, nursing research; ethical, legal, economic, and political aspects of nursing and current issues in nursing. The student will also study and learn to practice psychosocial and physical assessment skills as well as learning how to do: vital sign assessment, provide bedside nursing care, hygiene and comfort; transfer and positioning techniques for clients, and understand and demonstrate competence in the utilization of standard precautions as a health care provider. The emphasis of this course will also be on the maintenance, and promotion and health of the older adult and introduction to the care of the inpatient. Clients with chronic health problems in both these populations are addressed. Content is organized around the concepts of wellness, chronicity and acuity. The nursing process is used to assist these clients to grow and or adapt through supportive, therapeutic, palliative, and preventive measures. Pre / Co requisites: NSL 381 requires a prerequisite of a C minimum in NSG 530 , NSG 532 , and NSG 533 ; and a corequisite of NSG 381 . Typically offered in Fall, Spring & Summer."
"NSL 383.  Caring for Healthy, Acute and Chronic Populations - Pediatrics/Maternity/Medical-Surgical I.  3 Credits.","The emphasis of this course is the medical-surgical, childbearing family, and the pediatric patient. Content will focus on prevention of illness and promotion of health by assessment of the health status, appropriate intervention, and evaluation of the health promotion plan. Chronic states as well as acute health conditions will be addressed as well. Content is organized around the concepts of wellness, chronicity and acuity. The nursing process provides the framework for the care to be given in a variety of settings with clients. Pre / Co requisites: NSL 383 requires a prerequisite of a C minimum in NSG 381 and NSL 381 ; and a corequisite of NSG 383 . Typically offered in Fall, Spring & Summer."
NSL 385.  Caring for Acutely Ill Populations - Medical-Surgical II & Behavioral Health/Immersive Experience.  3 Credits.,"The emphasis of this course is on the care of persons with acute medical-surgical and acute holistic health crises. Concepts of holistic care are highlighted throughout classroom and clinical experiences. The content will focus on the use of the nursing process to assist clients in crisis. The framework for the care to be given will reflect concepts including the use of leadership, management, and public /population health nursing concepts to manage and improve health. Students will collaborate, coordinate, and advocate as they use the nursing process independently and interdependently to focus on the complex problems of individuals, families, communities, populations, and systems. Students are expected to function as self-directed learners who correlate nursing/scientific theory and concepts with identifiable research problems in varied environments. Clinical experiences are provided in an immersion experience in acute care psychiatric inpatient and medical surgical settings. Pre / Co requisites: NSL 385 requires a prerequisite of a C minimum in NSG 381 , NSL 381 , NSG 383 , and NSL 383 ; and a corequisite of NSG 385 . Typically offered in Fall, Spring & Summer."
NSL 411.  Laboratory.  5 Credits.,"Clinical experiences are provided in acute care psychiatric in-patient and in medical surgical settings. Pre / Co requisites: NSL 411 requires prerequisites NSG 311 , NSL 311 , NSG 312 and NSL 312 and co-requisite of NSG 411 ."
NSL 412.  Laboratory.  5 Credits.,"The clinical experience is provided in acute care medical surgical settings and in Community/Public Health settings. The student will have the opportunity to use leadership and systems level skills and to develop interdependency in their nursing practice. Pre / Co requisites: NSL 412 requires prerequisites of NSG 311 , NSL 311 , NSG 312 and NSL 312 and co-requisite of NSG 412 . Distance education offering may be available."
NTD 199.  Transfer Credit Electives.  1-15 Credits.,"Transfer Electives. Typically offered in Fall, Spring & Summer. Repeatable for Credit."
NTD 200.  Nutrition and Culture.  3 Credits.,"Students will increase awareness of the connection between health outcomes, diet and nutrition, and socio-cultural influences. Course studies will lay a foundation for understanding why people eat the foods that they do. A bio-cultural framework is applied to examine how individual dietary habits, choices, and nutritional health outcomes are influenced by social structure, historic patterns and events, and cultural beliefs and ideology. Students explore food ways, food scripts, health beliefs and practices, demographic characteristics, and population health across diverse communities within the United States. The course also employs a critical analysis of macro-structural inequalities, societal stresses, and cultural norms that alter access and availability to healthy foods and disparately undermine the nutritional health of some populations. Gen Ed Attribute: Diversity Requirement. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
NTD 203.  The Dietetic Profession.  1 Credit.,"This is an introductory course for nutrition and dietetics majors to orient them to the profession of dietetics and the nutrition and dietetics curriculum. Topics such as West Chester University academic policies, the dietetics curriculum, careers in dietetics, post-secondary options, professional ethics, designing a professional portfolio, career mentoring, and volunteer and paid experiences relevant to the profession will be covered. Typically offered in Fall & Spring."
NTD 205.  Principles of Food Selection and Preparation.  3 Credits.,"A nutritionally based study of the basic principles of food selection and preparation with an emphasis on food safety. Course includes a comparative study and integration of convenience food and traditionally prepared food, enhanced by an experiential lab component . Typically offered in Fall & Spring."
"NTD 226.  Farm to Table Food, Flavor, and Health.  3 Credits.","This course combines online lectures, in-class activities, and laboratory experiments to apply the principles of food preservation for increasing the value and shelf-life of local farm crops. Students will gain an understanding of sustainable food production, methods of recording the human responses to food flavor, and conventional food preservation techniques. They will learn how to apply these principles to safely preserve food by canning, pickling, dehydration, and other traditional techniques. Additionally, students will be trained to communicate the steps that are involved in making a healthy and sustainable food product/recipe for consumer acceptability and nutritional qualities. Distance education offering may be available. Typically offered in Spring."
NTD 277.  Sustainable Food Systems.  3 Credits.,"The primary objective of this course, team taught by an anthropologist and a registered dietitian, is to examine the interrelationship of nutrition ecology, anthropology and the political economic underpinnings of sustainable food systems. Gen Ed Attribute: Interdisciplinary Requirement. Typically offered in Fall. Cross listed courses ANT 277 , NTD 277 ."
NTD 300.  Nutrition Pedagogy.  3 Credits.,This course provides the knowledge and skills necessary to develop and teach K-12 nutrition education lessons and curricula. Typically offered in Spring.
NTD 301.  Consumer Nutrition.  3 Credits.,"This course explores the ever-changing frontier of nutrition science and confronts nutrition mysteries and emerging controversies. Practical tips and flexible guidelines to assist consumers in choosing nutritious, flavorful foods to match personal needs, preferences, and lifestyles are discussed. Emphasis is placed on methods of evaluating nutrition-related literature and claims, and interpretation of data and scientific studies relevant to nutrition. Distance education offering may be available. Typically offered in Fall & Spring."
